CallerLibrary	CallerMethod	CalleeLibrary	setAccessible.CalledOn	Visibility	CalleeName	FieldSignature	Counts
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Field"	"private"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Condition::result"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Result"	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Field"	"private"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Element::after"	"java.util.List<com.capitalone.dashboard.model.quality.CucumberJsonReport$Condition>"	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Field"	"private"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Element::before"	"java.util.List<com.capitalone.dashboard.model.quality.CucumberJsonReport$Condition>"	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Field"	"private"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Element::id"	"java.lang.String"	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Field"	"private"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Element::keyword"	"java.lang.String"	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Field"	"private"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Element::name"	"java.lang.String"	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Field"	"private"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Element::steps"	"java.util.List<com.capitalone.dashboard.model.quality.CucumberJsonReport$Step>"	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Field"	"private"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Element::tags"	"java.util.List<com.capitalone.dashboard.model.quality.CucumberJsonReport$Tag>"	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Field"	"private"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Feature::elements"	"java.util.List<com.capitalone.dashboard.model.quality.CucumberJsonReport$Element>"	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Field"	"private"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Feature::id"	"java.lang.String"	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Field"	"private"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Feature::keyword"	"java.lang.String"	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Field"	"private"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Feature::name"	"java.lang.String"	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Field"	"private"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Match::location"	"com.fasterxml.jackson.databind.JsonNode"	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Field"	"private"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Result::duration"	"long"	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Field"	"private"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Result::status"	"java.lang.String"	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Field"	"private"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Step::keyword"	"java.lang.String"	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Field"	"private"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Step::line"	"java.lang.String"	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Field"	"private"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Step::name"	"java.lang.String"	1
"com.fasterxml.jackson.core:jackson-databind"	"com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V"	"com.capitalone.dashboard:core:3.6.9-SNAPSHOT"	"java.lang.reflect.Field"	"private"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Step::result"	"com.capitalone.dashboard.model.quality.CucumberJsonReport$Result"	1
