CallerLibrary	CallerMethod	CalleeLibrary	setAccessible.CalledOn	Visibility	CalleeName	FieldSignature	Counts
"com.alibaba:fastjson"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Method"	"public"	"javax.servlet.http.Cookie::getComment()Ljava/lang/String;"	""	2
"com.alibaba:fastjson"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Method"	"public"	"javax.servlet.http.Cookie::getDomain()Ljava/lang/String;"	""	2
"com.alibaba:fastjson"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Method"	"public"	"javax.servlet.http.Cookie::getMaxAge()I"	""	2
"com.alibaba:fastjson"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Method"	"public"	"javax.servlet.http.Cookie::getName()Ljava/lang/String;"	""	2
"com.alibaba:fastjson"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Method"	"public"	"javax.servlet.http.Cookie::getPath()Ljava/lang/String;"	""	2
"com.alibaba:fastjson"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Method"	"public"	"javax.servlet.http.Cookie::getSecure()Z"	""	2
"com.alibaba:fastjson"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Method"	"public"	"javax.servlet.http.Cookie::getValue()Ljava/lang/String;"	""	2
"com.alibaba:fastjson"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Method"	"public"	"javax.servlet.http.Cookie::getVersion()I"	""	2
"com.alibaba:fastjson"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Method"	"public"	"javax.servlet.http.Cookie::isHttpOnly()Z"	""	2
"com.alibaba:fastjson"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Method"	"public"	"javax.servlet.http.Cookie::setComment(Ljava/lang/String;)V"	""	2
