Callee Library,Field Name,Field Signature,Field Library,Count
jetty-server-9.4.26.v20200117,org.eclipse.jetty.util.IteratingCallback$Action::SUCCEEDED,Lorg/eclipse/jetty/util/IteratingCallback$Action;,jetty-util-9.4.26.v20200117,6
jetty-server-9.4.26.v20200117,org.eclipse.jetty.util.thread.Invocable$InvocationType::NON_BLOCKING,Lorg/eclipse/jetty/util/thread/Invocable$InvocationType;,jetty-util-9.4.26.v20200117,3
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.MimeTypes$Type::TEXT_HTML_8859_1,Lorg/eclipse/jetty/http/MimeTypes$Type;,jetty-http-9.4.26.v20200117,1
jetty-server-9.4.26.v20200117,org.eclipse.jetty.util.UrlEncoded::ENCODING,Ljava/nio/charset/Charset;,jetty-util-9.4.26.v20200117,1
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpHeader::CONNECTION,Lorg/eclipse/jetty/http/HttpHeader;,jetty-http-9.4.26.v20200117,8
jetty-servlet-9.4.26.v20200117,org.eclipse.jetty.util.DecoratedObjectFactory::ATTR,Ljava/lang/String;,jetty-util-9.4.26.v20200117,2
jetty-server-9.4.26.v20200117,javax.servlet.DispatcherType::ASYNC,Ljavax/servlet/DispatcherType;,javax.servlet-api-3.1.0,2
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpHeaderValue::CLOSE,Lorg/eclipse/jetty/http/HttpHeaderValue;,jetty-http-9.4.26.v20200117,4
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpHeaderValue::UNKNOWN,Lorg/eclipse/jetty/http/HttpHeaderValue;,jetty-http-9.4.26.v20200117,1
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpScheme::HTTP,Lorg/eclipse/jetty/http/HttpScheme;,jetty-http-9.4.26.v20200117,3
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpHeader::ACCEPT_LANGUAGE,Lorg/eclipse/jetty/http/HttpHeader;,jetty-http-9.4.26.v20200117,2
