Caller Method,Caller Library,Virtual Callee Method,Actual Callee Method,Callee Library,Count
org.antlr.v4.runtime.Parser::consume()Lorg/antlr/v4/runtime/Token;,antlr4-runtime-4.7.2,org.antlr.v4.runtime.ParserRuleContext::addChild(Lorg/antlr/v4/runtime/tree/TerminalNode;)Lorg/antlr/v4/runtime/tree/TerminalNode;,org.seimicrawler.xpath.antlr.XpathParser$EqualityExprContext::addChild(Lorg/antlr/v4/runtime/tree/TerminalNode;)Lorg/antlr/v4/runtime/tree/TerminalNode;,JsoupXpath-2.4.3,21
org.seimicrawler.xpath.util.CommonUtil::getElIndexInSameTags(Lorg/jsoup/nodes/Element;Lorg/seimicrawler/xpath/core/Scope;)I,JsoupXpath-2.4.3,org.jsoup.nodes.Element::children()Lorg/jsoup/select/Elements;,org.jsoup.nodes.Element::children()Lorg/jsoup/select/Elements;,jsoup-1.13.1,243
org.junit.runners.ParentRunner::run(Lorg/junit/runner/notification/RunNotifier;)V,junit-4.12,org.junit.runners.model.Statement::evaluate()V,com.tngtech.java.junit.dataprovider.DataProviderRunner$1::evaluate()V,junit-dataprovider-1.10.2,1
org.antlr.v4.runtime.Lexer::emit()Lorg/antlr/v4/runtime/Token;,antlr4-runtime-4.7.2,org.antlr.v4.runtime.Lexer::emit(Lorg/antlr/v4/runtime/Token;)V,org.seimicrawler.xpath.antlr.XpathLexer::emit(Lorg/antlr/v4/runtime/Token;)V,JsoupXpath-2.4.3,598
org.antlr.v4.runtime.tree.AbstractParseTreeVisitor::visit(Lorg/antlr/v4/runtime/tree/ParseTree;)Ljava/lang/Object;,antlr4-runtime-4.7.2,org.antlr.v4.runtime.tree.ParseTree::accept(Lorg/antlr/v4/runtime/tree/ParseTreeVisitor;)Ljava/lang/Object;,org.seimicrawler.xpath.antlr.XpathParser$PredicateContext::accept(Lorg/antlr/v4/runtime/tree/ParseTreeVisitor;)Ljava/lang/Object;,JsoupXpath-2.4.3,213
org.seimicrawler.xpath.antlr.XpathParser::additiveExpr()Lorg/seimicrawler/xpath/antlr/XpathParser$AdditiveExprContext;,JsoupXpath-2.4.3,org.antlr.v4.runtime.TokenStream::LA(I)I,org.antlr.v4.runtime.CommonTokenStream::LA(I)I,antlr4-runtime-4.7.2,123
org.antlr.v4.runtime.ParserRuleContext::getRuleContext(Ljava/lang/Class;I)Lorg/antlr/v4/runtime/ParserRuleContext;,antlr4-runtime-4.7.2,org.antlr.v4.runtime.ParserRuleContext::getChild(Ljava/lang/Class;I)Lorg/antlr/v4/runtime/tree/ParseTree;,org.seimicrawler.xpath.antlr.XpathParser$NodeTestContext::getChild(Ljava/lang/Class;I)Lorg/antlr/v4/runtime/tree/ParseTree;,JsoupXpath-2.4.3,15168
org.junit.runners.ParentRunner::classBlock(Lorg/junit/runner/notification/RunNotifier;)Lorg/junit/runners/model/Statement;,junit-4.12,org.junit.runners.ParentRunner::withClassRules(Lorg/junit/runners/model/Statement;)Lorg/junit/runners/model/Statement;,com.tngtech.java.junit.dataprovider.DataProviderRunner::withClassRules(Lorg/junit/runners/model/Statement;)Lorg/junit/runners/model/Statement;,junit-dataprovider-1.10.2,1
org.antlr.v4.runtime.Parser::consume()Lorg/antlr/v4/runtime/Token;,antlr4-runtime-4.7.2,org.antlr.v4.runtime.ANTLRErrorStrategy::inErrorRecoveryMode(Lorg/antlr/v4/runtime/Parser;)Z,org.seimicrawler.xpath.exception.DoFailOnErrorHandler::inErrorRecoveryMode(Lorg/antlr/v4/runtime/Parser;)Z,JsoupXpath-2.4.3,598
ch.qos.logback.classic.util.EnvUtil::getServiceLoaderClassLoader()Ljava/lang/ClassLoader;,logback-classic-1.2.3,ch.qos.logback.core.util.Loader::getClassLoaderOfClass(Ljava/lang/Class;)Ljava/lang/ClassLoader;,ch.qos.logback.core.util.Loader::getClassLoaderOfClass(Ljava/lang/Class;)Ljava/lang/ClassLoader;,logback-core-1.2.3,1
