CallerLibrary	CallerMethod	DeclaredCalleeMethod	DeclaredCalleeLibrary	ActualCalleeMethod	ActualCalleeLibrary	CalleeVisibility	ServiceBypass	Counts
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::ObjectMapper(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.core.JsonFactory::setCodec(Lcom/fasterxml/jackson/core/ObjectCodec;)Lcom/fasterxml/jackson/core/JsonFactory;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::setCodec(Lcom/fasterxml/jackson/core/ObjectCodec;)Lcom/fasterxml/jackson/core/JsonFactory;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::readTree([B)Lcom/fasterxml/jackson/databind/JsonNode;"	"com.fasterxml.jackson.core.JsonFactory::createParser([B)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::createParser([B)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::readTree([BII)Lcom/fasterxml/jackson/databind/JsonNode;"	"com.fasterxml.jackson.core.JsonFactory::createParser([BII)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::createParser([BII)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::readTree(Ljava/io/InputStream;)Lcom/fasterxml/jackson/databind/JsonNode;"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/io/InputStream;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/io/InputStream;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::readTree(Ljava/io/Reader;)Lcom/fasterxml/jackson/databind/JsonNode;"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/io/Reader;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/io/Reader;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::readTree(Ljava/lang/String;)Lcom/fasterxml/jackson/databind/JsonNode;"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/lang/String;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/lang/String;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::readValue([BIILcom/fasterxml/jackson/databind/JavaType;)Ljava/lang/Object;"	"com.fasterxml.jackson.core.JsonFactory::createParser([BII)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::createParser([BII)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::readValue([BLjava/lang/Class;)Ljava/lang/Object;"	"com.fasterxml.jackson.core.JsonFactory::createParser([B)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::createParser([B)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::readValue(Ljava/io/DataInput;Ljava/lang/Class;)Ljava/lang/Object;"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/io/DataInput;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/io/DataInput;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::readValue(Ljava/io/InputStream;Ljava/lang/Class;)Ljava/lang/Object;"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/io/InputStream;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/io/InputStream;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::readValue(Ljava/io/Reader;Ljava/lang/Class;)Ljava/lang/Object;"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/io/Reader;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/io/Reader;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::readValue(Ljava/lang/String;Lcom/fasterxml/jackson/databind/JavaType;)Ljava/lang/Object;"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/lang/String;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/lang/String;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::writeValueAsBytes(Ljava/lang/Object;)[B"	"com.fasterxml.jackson.core.JsonFactory::_getBufferRecycler()Lcom/fasterxml/jackson/core/util/BufferRecycler;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::_getBufferRecycler()Lcom/fasterxml/jackson/core/util/BufferRecycler;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectMapper::writeValueAsString(Ljava/lang/Object;)Ljava/lang/String;"	"com.fasterxml.jackson.core.JsonFactory::_getBufferRecycler()Lcom/fasterxml/jackson/core/util/BufferRecycler;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::_getBufferRecycler()Lcom/fasterxml/jackson/core/util/BufferRecycler;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectReader::_verifySchemaType(Lcom/fasterxml/jackson/core/FormatSchema;)V"	"com.fasterxml.jackson.core.JsonFactory::canUseSchema(Lcom/fasterxml/jackson/core/FormatSchema;)Z"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::canUseSchema(Lcom/fasterxml/jackson/core/FormatSchema;)Z"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectReader::_verifySchemaType(Lcom/fasterxml/jackson/core/FormatSchema;)V"	"com.fasterxml.jackson.core.JsonFactory::getFormatName()Ljava/lang/String;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::getFormatName()Ljava/lang/String;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectReader::createParser([B)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core.JsonFactory::createParser([B)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::createParser([B)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectReader::createParser([BII)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core.JsonFactory::createParser([BII)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::createParser([BII)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
