Caller Method,Caller Library,Virtual Callee Method,Actual Callee Method,Callee Library,Count
org.eclipse.jetty.util.component.ContainerLifeCycle::addBean(Ljava/lang/Object;)Z,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.component.LifeCycle::isRunning()Z,org.eclipse.jetty.io.ManagedSelector::isRunning()Z,jetty-io-9.4.26.v20200117,4
org.eclipse.jetty.server.AbstractConnector$Acceptor::run()V,jetty-server-9.4.26.v20200117,org.eclipse.jetty.util.thread.Locker$Lock::close()V,org.eclipse.jetty.util.thread.Locker$Lock::close()V,jetty-util-9.4.26.v20200117,4
org.eclipse.jetty.util.component.ContainerLifeCycle::remove(Lorg/eclipse/jetty/util/component/ContainerLifeCycle$Bean;)Z,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.component.Container$Listener::beanRemoved(Lorg/eclipse/jetty/util/component/Container;Ljava/lang/Object;)V,org.eclipse.jetty.server.AbstractConnector$1::beanRemoved(Lorg/eclipse/jetty/util/component/Container;Ljava/lang/Object;)V,jetty-server-9.4.26.v20200117,2
org.eclipse.jetty.http.HttpParser::parseLine(Ljava/nio/ByteBuffer;)Z,jetty-http-9.4.26.v20200117,org.eclipse.jetty.util.Utf8StringBuilder::reset()V,org.eclipse.jetty.util.Utf8StringBuilder::reset()V,jetty-util-9.4.26.v20200117,56
org.eclipse.jetty.server.HttpChannel$SendCallback::failed(Ljava/lang/Throwable;)V,jetty-server-9.4.26.v20200117,org.eclipse.jetty.util.log.Logger::isDebugEnabled()Z,org.eclipse.jetty.util.log.StdErrLog::isDebugEnabled()Z,jetty-util-9.4.26.v20200117,1
org.eclipse.jetty.util.component.ContainerLifeCycle::doStop()V,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.component.ContainerLifeCycle::stop(Lorg/eclipse/jetty/util/component/LifeCycle;)V,org.eclipse.jetty.server.ServerConnector::stop(Lorg/eclipse/jetty/util/component/LifeCycle;)V,jetty-server-9.4.26.v20200117,3
org.eclipse.jetty.util.component.ContainerLifeCycle::setStopTimeout(J)V,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.component.AbstractLifeCycle::setStopTimeout(J)V,org.eclipse.jetty.server.HttpConnectionFactory::setStopTimeout(J)V,jetty-server-9.4.26.v20200117,1
org.eclipse.jetty.util.component.AbstractLifeCycle::start()V,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.component.AbstractLifeCycle::setStarted()V,org.eclipse.jetty.io.ManagedSelector::setStarted()V,jetty-io-9.4.26.v20200117,4
org.eclipse.jetty.io.IdleTimeout::scheduleIdleTimeout(J)V,jetty-io-9.4.26.v20200117,org.eclipse.jetty.util.thread.Scheduler::schedule(Ljava/lang/Runnable;JLjava/util/concurrent/TimeUnit;)Lorg/eclipse/jetty/util/thread/Scheduler$Task;,org.eclipse.jetty.util.thread.ScheduledExecutorScheduler::schedule(Ljava/lang/Runnable;JLjava/util/concurrent/TimeUnit;)Lorg/eclipse/jetty/util/thread/Scheduler$Task;,jetty-util-9.4.26.v20200117,3
org.eclipse.jetty.server.HttpChannelOverHttp::parsedHeader(Lorg/eclipse/jetty/http/HttpField;)V,jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.MetaData$Request::getURI()Lorg/eclipse/jetty/http/HttpURI;,org.eclipse.jetty.http.MetaData$Request::getURI()Lorg/eclipse/jetty/http/HttpURI;,jetty-http-9.4.26.v20200117,112
org.eclipse.jetty.http.HttpParser::parseContent(Ljava/nio/ByteBuffer;)Z,jetty-http-9.4.26.v20200117,org.eclipse.jetty.http.HttpParser$HttpHandler::content(Ljava/nio/ByteBuffer;)Z,org.eclipse.jetty.server.HttpChannelOverHttp::content(Ljava/nio/ByteBuffer;)Z,jetty-server-9.4.26.v20200117,16
