ClientLibrary	FieldLibrary	FieldName	FieldSignature	Visibility	Static	Counts
"org.codehaus.groovy:groovy:3.0.8"	"io.rest-assured:rest-assured-common:4.4.0"	"java.lang.Class::space"	"java.lang.Object"	"private"	"true"	1
"org.codehaus.groovy:groovy:3.0.8"	"org.codehaus.groovy:groovy-json:3.0.8"	"java.lang.Class::CLOSE_BRACKET"	"groovy.json.JsonTokenType"	"public"	"true"	1
"org.codehaus.groovy:groovy:3.0.8"	"org.codehaus.groovy:groovy-json:3.0.8"	"java.lang.Class::CLOSE_CURLY"	"groovy.json.JsonTokenType"	"public"	"true"	1
"org.codehaus.groovy:groovy:3.0.8"	"org.codehaus.groovy:groovy-json:3.0.8"	"java.lang.Class::COLON"	"groovy.json.JsonTokenType"	"public"	"true"	1
"org.codehaus.groovy:groovy:3.0.8"	"org.codehaus.groovy:groovy-json:3.0.8"	"java.lang.Class::COMMA"	"groovy.json.JsonTokenType"	"public"	"true"	1
"org.codehaus.groovy:groovy:3.0.8"	"org.codehaus.groovy:groovy-json:3.0.8"	"java.lang.Class::NULL"	"groovy.json.JsonTokenType"	"public"	"true"	1
"org.codehaus.groovy:groovy:3.0.8"	"org.codehaus.groovy:groovy-json:3.0.8"	"java.lang.Class::OPEN_BRACKET"	"groovy.json.JsonTokenType"	"public"	"true"	1
"org.codehaus.groovy:groovy:3.0.8"	"org.codehaus.groovy:groovy-json:3.0.8"	"java.lang.Class::OPEN_CURLY"	"groovy.json.JsonTokenType"	"public"	"true"	1
"org.codehaus.groovy:groovy:3.0.8"	"org.codehaus.groovy:groovy-json:3.0.8"	"java.lang.Class::STRING"	"groovy.json.JsonTokenType"	"public"	"true"	1
"org.apache.commons:commons-lang3:3.4"	"org.apache.rocketmq:rocketmq-broker:4.9.1"	"org.apache.rocketmq.broker.filter.ConsumerFilterData::bloomFilterData"	"org.apache.rocketmq.filter.util.BloomFilterData"	"private"	"false"	1
"org.apache.commons:commons-lang3:3.4"	"org.apache.rocketmq:rocketmq-broker:4.9.1"	"org.apache.rocketmq.broker.filter.ConsumerFilterData::bornTime"	"long"	"private"	"false"	1
"org.apache.commons:commons-lang3:3.4"	"org.apache.rocketmq:rocketmq-broker:4.9.1"	"org.apache.rocketmq.broker.filter.ConsumerFilterData::clientVersion"	"long"	"private"	"false"	1
"org.apache.commons:commons-lang3:3.4"	"org.apache.rocketmq:rocketmq-broker:4.9.1"	"org.apache.rocketmq.broker.filter.ConsumerFilterData::consumerGroup"	"java.lang.String"	"private"	"false"	1
"org.apache.commons:commons-lang3:3.4"	"org.apache.rocketmq:rocketmq-broker:4.9.1"	"org.apache.rocketmq.broker.filter.ConsumerFilterData::deadTime"	"long"	"private"	"false"	1
"org.apache.commons:commons-lang3:3.4"	"org.apache.rocketmq:rocketmq-broker:4.9.1"	"org.apache.rocketmq.broker.filter.ConsumerFilterData::expression"	"java.lang.String"	"private"	"false"	1
"org.apache.commons:commons-lang3:3.4"	"org.apache.rocketmq:rocketmq-broker:4.9.1"	"org.apache.rocketmq.broker.filter.ConsumerFilterData::expressionType"	"java.lang.String"	"private"	"false"	1
"org.apache.commons:commons-lang3:3.4"	"org.apache.rocketmq:rocketmq-broker:4.9.1"	"org.apache.rocketmq.broker.filter.ConsumerFilterData::topic"	"java.lang.String"	"private"	"false"	1
