Caller Method	Caller Library	setAccessible Called On	Visibility	Callee Name	Field Signature	Callee Library
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	default	java.util.Calendar::ZONE_OFFSET_MASK	int	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	public	java.util.Calendar::OCTOBER	int	unknownLib
com.thoughtworks.xstream.core.util.SerializationMembers::getMethod(Ljava/lang/Class;Ljava/lang/String;[Ljava/lang/Class;)Ljava/lang/reflect/Method;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Method	private	com.thoughtworks.acceptance.SerializationCallbackOrderTest$ProtectedChildInheritedRR::readObject(Ljava/io/ObjectInputStream;)V		unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	default	com.thoughtworks.xstream.converters.reflection.FieldDictionaryTest$I::i	java.lang.String	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	protected	javax.swing.table.JTableHeader::draggedDistance	int	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	default	java.util.Calendar::MINUTE_MASK	int	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	private	com.thoughtworks.xstream.mapper.AttributeMapper::converterLookup	com.thoughtworks.xstream.converters.ConverterLookup	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	private	com.thoughtworks.xstream.converters.reflection.SerializableConverter::classLoaderReference	com.thoughtworks.xstream.core.ClassLoaderReference	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildDictionaryEntryForClass(Ljava/lang/Class;Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;)Lcom/thoughtworks/xstream/converters/reflection/FieldDictionary$DictionaryEntry;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	private	com.thoughtworks.acceptance.CustomSerializationTest$ObjectWithCustomSerialization::serialVersionUID	long	unknownLib
com.thoughtworks.xstream.core.util.Fields::find(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/reflect/Field;	com.thoughtworks.xstream:xstream:1.5.0-SNAPSHOT	java.lang.reflect.Field	private	sun.swing.table.DefaultTableCellHeaderRenderer::sortArrow	javax.swing.Icon	unknownLib
