Caller Method	Caller Library	setAccessible Called On	Visibility	Callee Name	Field Signature	Callee Library
net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V	net.vidageek:mirror:1.6.1	java.lang.reflect.Method	public	br.com.caelum.vraptor.core.ReflectionProviderTest$Dog::isRunning()Z		unknownLib
net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V	net.vidageek:mirror:1.6.1	java.lang.reflect.Method	public	br.com.caelum.vraptor.http.iogi.IogiParametersProviderTest$House::setExtraCats(Ljava/util/List;)V		unknownLib
com.thoughtworks.xstream.core.util.Fields::locate(Ljava/lang/Class;Ljava/lang/Class;Z)Ljava/lang/reflect/Field;	com.thoughtworks.xstream:xstream:1.4.7	java.lang.reflect.Field	private	java.awt.font.TextAttribute::instanceMap	java.util.Map<java.lang.String	 java.awt.font.TextAttribute>	unknownLib
net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V	net.vidageek:mirror:1.6.1	java.lang.reflect.Method	public	br.com.caelum.vraptor.http.iogi.IogiParametersProviderTest$Person::setName(Ljava/lang/String;)V		unknownLib
javassist.util.proxy.SecurityActions::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	org.javassist:javassist:3.18.1-GA	java.lang.reflect.Field	public	br.com.caelum.vraptor.serialization.NoRootSerialization_$$_jvst16b_f::_filter_signature	byte[]	unknownLib
javassist.util.proxy.SecurityActions::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	org.javassist:javassist:3.18.1-GA	java.lang.reflect.Field	public	br.com.caelum.vraptor.serialization.NoRootSerialization_$$_jvst16b_f::_filter_signature	byte[]	unknownLib
net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V	net.vidageek:mirror:1.6.1	java.lang.reflect.Method	public	br.com.caelum.vraptor.http.iogi.IogiParametersProviderTest$House::setOwners(Ljava/util/List;)V		unknownLib
net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V	net.vidageek:mirror:1.6.1	java.lang.reflect.Method	public	br.com.caelum.vraptor.interceptor.example.AlwaysAcceptsAspectInterceptor::after()V		unknownLib
net.vidageek.mirror.provider.java.PureJavaFieldReflectionProvider::setAccessible()V	net.vidageek:mirror:1.6.1	java.lang.reflect.Field	private	br.com.caelum.vraptor.observer.ParametersInstantiator::errors	java.util.List<br.com.caelum.vraptor.validator.Message>	br.com.caelum:vraptor:4.2.2
net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V	net.vidageek:mirror:1.6.1	java.lang.reflect.Method	public	br.com.caelum.vraptor.view.LogicResult::forwardTo(Ljava/lang/Class;)Ljava/lang/Object;		br.com.caelum:vraptor:4.2.2
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildMap(Ljava/lang/Class;Z)Ljava/util/Map;	com.thoughtworks.xstream:xstream:1.4.7	java.lang.reflect.Field	default	br.com.caelum.vraptor.serialization.xstream.XStreamXMLSerializationTest$Order::client	br.com.caelum.vraptor.serialization.xstream.XStreamXMLSerializationTest$Client	unknownLib
