Client A/Client B	br.com.caelum:vraptor 	ch.qos.logback:logback-classic 	cn.wanghaomiao:JsoupXpath 	com.alibaba:druid 	com.alibaba:druid-spring-boot-starter 	com.alibaba:fastjson 	com.h2database:h2 	com.jayway.jsonpath:json-path 	com.mchange:mchange-commons-java 	io.netty:netty-all 	io.netty:netty-common 	io.projectreactor:reactor-core 	io.searchbox:jest 	io.searchbox:jest-common 	io.springside:springside-metrics 	io.swagger:swagger-codegen 	io.swagger:swagger-core 	io.swagger:swagger-models 	io.swagger:swagger-parser 	ma.glasnost.orika:orika-core 	net.javacrumbs.json-unit:json-unit-core 	net.vidageek:mirror 	org.apache.kylin:kylin-jdbc 	org.apache.logging.log4j:log4j-to-slf4j 	org.apache.rocketmq:rocketmq-broker 	org.apache.rocketmq:rocketmq-logging 	org.apache.shiro:shiro-spring 	org.codehaus.janino:janino 	org.glowroot:glowroot-agent-embedded-unshaded 	org.jboss.interceptor:jboss-interceptor-core 	org.jboss.logging:jboss-logging 	org.mybatis:mybatis 	org.reflections:reflections 	org.slf4j:jcl-over-slf4j 	org.slf4j:slf4j-api 	org.slf4j:slf4j-ext 	org.slf4j:slf4j-log4j12 	org.slf4j:slf4j-simple 	org.springframework:spring-beans 	org.springframework:spring-core 	org.springframework:spring-jcl 	org.springframework.boot:spring-boot-actuator-autoconfigure 	org.springframework.data:spring-data-commons 	org.sql2o:sql2o 	us.codecraft:webmagic-core 	us.codecraft:webmagic-extension
io.netty:netty-common	0	0.0869565217391304	0	0.0909090909090909	0	0	0.111111111111111	0	0.2	0.571428571428571	1	0.142857142857143	0	0	0.166666666666667	0	0	0	0	0	0.142857142857143	0	0	0.125	0	0.0909090909090909	0	0	0	0	0.166666666666667	0.333333333333333	0	0.133333333333333	0	0.166666666666667	0	0	0	0	0.142857142857143	0.166666666666667	0	0	0	0
io.projectreactor:reactor-core	0	0.05	0	0.142857142857143	0	0	0.2	0	0.142857142857143	0.166666666666667	0.142857142857143	1	0.2	0.111111111111111	0.5	0.125	0	0.5	0	0	0.333333333333333	0	0	0.25	0	0.111111111111111	0	0	0	0	0.5	0.333333333333333	0	0.181818181818182	0	0.5	0	0	0	0	0.0909090909090909	0	0	0	0	0
io.searchbox:jest	0	0.0454545454545455	0	0	0.25	0	0	0	0.111111111111111	0	0	0.2	1	0.333333333333333	0	0.222222222222222	0	0.25	0.25	0	0	0	0	0	0.142857142857143	0.157894736842105	0	0	0	0	0	0	0.166666666666667	0.153846153846154	0.0833333333333333	0	0	0	0	0	0	0	0.125	0	0	0.2
io.searchbox:jest-common	0	0	0	0.0769230769230769	0	0	0.2	0.0909090909090909	0.166666666666667	0	0	0.111111111111111	0.333333333333333	1	0	0.153846153846154	0	0.125	0	0	0.111111111111111	0	0	0	0.5	0.238095238095238	0.125	0	0.111111111111111	0	0	0	0.1	0.1875	0	0	0	0	0	0	0.125	0	0.444444444444444	0	0.153846153846154	0.1111111
io.springside:springside-metrics	0	0.0526315789473684	0	0.166666666666667	0	0	0.25	0	0.166666666666667	0.2	0.166666666666667	0.5	0	0	1	0	0	0	0	0	0.5	0	0	0.333333333333333	0	0.0555555555555556	0	0	0	0	1	0.5	0	0.0909090909090909	0	1	0	0	0	0	0.1	0	0	0	0	0
io.swagger:swagger-codegen	0.142857142857143	0.181818181818182	0.142857142857143	0	0.142857142857143	0.142857142857143	0	0	0.0833333333333333	0	0	0.125	0.222222222222222	0.153846153846154	0	1	0.285714285714286	0.142857142857143	0.142857142857143	0.142857142857143	0	0.142857142857143	0	0	0.1	0.31578947368421	0	0	0.125	0.142857142857143	0	0	0.25	0.2	0.0666666666666667	0	0	0	0.142857142857143	0.142857142857143	0	0	0.2	0.142857142857143	0.272727272727273	0.125
io.swagger:swagger-core	0.5	0.105263157894737	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0.285714285714286	1	0	0	0.5	0	0.5	0	0	0	0.0526315789473684	0	0	0	0.5	0	0	0.25	0.0833333333333333	0	0	0	0	0.5	0.5	0	0	0	0.5	0.125	0.3333333
io.swagger:swagger-models	0	0	0	0	0	0	0	0	0	0	0	0.5	0.25	0.125	0	0.142857142857143	0	1	0	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0.0909090909090909	0	0	0	0	0	0	0	0	0	0	0	0
io.swagger:swagger-parser	0	0.0526315789473684	0	0	1	0	0	0	0.166666666666667	0	0	0	0.25	0	0	0.142857142857143	0	0	1	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0.333333333333333	0.0909090909090909	0.111111111111111	0	0	0	0	0	0	0	0.2	0	0	0
ma.glasnost.orika:orika-core	1	0.0526315789473684	1	0	0	1	0	0	0	0	0	0	0	0	0	0.142857142857143	0.5	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0.333333333333333	0	0	0	0	0	1	1	0	0	0	1	0.142857142857143	0.5
net.javacrumbs.json-unit:json-unit-core	0	0.05	0	0.333333333333333	0	0	0.5	0.2	0.333333333333333	0.166666666666667	0.142857142857143	0.333333333333333	0	0.111111111111111	0.5	0	0	0	0	0	1	0	0	0.25	0	0.0526315789473684	0.5	0	0.333333333333333	0	0.5	0.333333333333333	0.25	0.181818181818182	0	0.5	0	0	0	0	0.2	0	0.166666666666667	0	0	0
net.vidageek:mirror	1	0.0526315789473684	1	0	0	1	0	0	0	0	0	0	0	0	0	0.142857142857143	0.5	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0.333333333333333	0	0	0	0	0	1	1	0	0	0	1	0.142857142857143	0.5
org.apache.kylin:kylin-jdbc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0909090909090909	0	0	0	0	0	0	0	0	0	0	0
org.apache.logging.log4j:log4j-to-slf4j	0	0.0476190476190476	0	0.125	0	0	0.166666666666667	0	0.125	0.142857142857143	0.125	0.25	0	0	0.333333333333333	0	0	0	0	0	0.25	0	0	1	0	0.05	0	0	0	0	0.333333333333333	0.25	0	0.0769230769230769	0	0.333333333333333	0	0	0	0	0.0833333333333333	0	0	0	0	0
org.apache.rocketmq:rocketmq-broker	0	0	0	0	0	0	0	0	0	0	0	0	0.142857142857143	0.5	0	0.1	0	0	0	0	0	0	0	0	1	0.157894736842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285714285714286	0	0.222222222222222	0
org.apache.rocketmq:rocketmq-logging	0	0.15625	0	0.0434782608695652	0.0555555555555556	0	0.0476190476190476	0	0.142857142857143	0.0952380952380952	0.0909090909090909	0.111111111111111	0.157894736842105	0.238095238095238	0.0555555555555556	0.31578947368421	0.0526315789473684	0.0555555555555556	0.0555555555555556	0	0.0526315789473684	0	0	0.05	0.157894736842105	1	0	0	0.0526315789473684	0	0.0555555555555556	0.0526315789473684	0.05	0.16	0.0384615384615385	0.0555555555555556	0	0	0	0	0.037037037037037	0.0555555555555556	0.15	0	0.19047619047619	0.05263158
org.apache.shiro:shiro-spring	0	0	0	0.166666666666667	0	0	0.25	0.25	0.166666666666667	0	0	0	0	0.125	0	0	0	0	0	0	0.5	0	0	0	0	0	1	0	0.5	0	0	0	0.333333333333333	0.0909090909090909	0	0	0	0	0	0	0.1	0	0.2	0	0	0
org.codehaus.janino:janino	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
org.glowroot:glowroot-agent-embedded-unshaded	0	0.05	0	0.142857142857143	0	0	0.2	0.2	0.142857142857143	0	0	0	0	0.111111111111111	0	0.125	0	0	0	0	0.333333333333333	0	0	0	0	0.0526315789473684	0.5	0	1	0	0	0	0.25	0.0833333333333333	0	0	0	0	0	0	0.0909090909090909	0	0.166666666666667	0	0.125	0
org.jboss.interceptor:jboss-interceptor-core	1	0.0526315789473684	1	0	0	1	0	0	0	0	0	0	0	0	0	0.142857142857143	0.5	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0.333333333333333	0	0	0	0	0	1	1	0	0	0	1	0.142857142857143	0.5
org.jboss.logging:jboss-logging	0	0.0526315789473684	0	0.166666666666667	0	0	0.25	0	0.166666666666667	0.2	0.166666666666667	0.5	0	0	1	0	0	0	0	0	0.5	0	0	0.333333333333333	0	0.0555555555555556	0	0	0	0	1	0.5	0	0.0909090909090909	0	1	0	0	0	0	0.1	0	0	0	0	0
org.mybatis:mybatis	0	0.05	0	0.142857142857143	0	0	0.2	0	0.142857142857143	0.4	0.333333333333333	0.333333333333333	0	0	0.5	0	0	0	0	0	0.333333333333333	0	0	0.25	0	0.0526315789473684	0	0	0	0	0.5	1	0	0.0833333333333333	0	0.5	0	0	0	0	0.2	0	0	0	0	0
org.reflections:reflections	0.333333333333333	0.1	0.333333333333333	0.125	0.333333333333333	0.333333333333333	0.166666666666667	0.166666666666667	0.285714285714286	0	0	0	0.166666666666667	0.1	0	0.25	0.25	0	0.333333333333333	0.333333333333333	0.25	0.333333333333333	0	0	0	0.05	0.333333333333333	0	0.25	0.333333333333333	0	0	1	0.166666666666667	0.0909090909090909	0	0	0	0.333333333333333	0.333333333333333	0.0833333333333333	0	0.333333333333333	0.333333333333333	0.111111111111111	0.25
org.slf4j:jcl-over-slf4j	0	0.111111111111111	0	0.214285714285714	0.0909090909090909	0	0.25	0.0714285714285714	0.416666666666667	0.142857142857143	0.133333333333333	0.181818181818182	0.153846153846154	0.1875	0.0909090909090909	0.2	0.0833333333333333	0.0909090909090909	0.0909090909090909	0	0.181818181818182	0	0	0.0769230769230769	0	0.16	0.0909090909090909	0	0.0833333333333333	0	0.0909090909090909	0.0833333333333333	0.166666666666667	1	0.0526315789473684	0.0909090909090909	0	0	0	0	0.4	0	0.230769230769231	0	0	0
org.slf4j:slf4j-api	0	0.037037037037037	0	0	0.111111111111111	0	0	0	0.0714285714285714	0	0	0	0.0833333333333333	0	0	0.0666666666666667	0	0	0.111111111111111	0	0	0	0.0909090909090909	0	0	0.0384615384615385	0	0	0	0	0	0	0.0909090909090909	0.0526315789473684	1	0	0	0	0	0	0	0	0.0769230769230769	0	0	0
org.slf4j:slf4j-ext	0	0.0526315789473684	0	0.166666666666667	0	0	0.25	0	0.166666666666667	0.2	0.166666666666667	0.5	0	0	1	0	0	0	0	0	0.5	0	0	0.333333333333333	0	0.0555555555555556	0	0	0	0	1	0.5	0	0.0909090909090909	0	1	0	0	0	0	0.1	0	0	0	0	0
org.slf4j:slf4j-log4j12	0	0.0454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.75	0	0	0	0	0	0	0	0
org.slf4j:slf4j-simple	0	0.0476190476190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	1	0	0	0	0	0	0	0	0
org.springframework:spring-beans	1	0.0526315789473684	1	0	0	1	0	0	0	0	0	0	0	0	0	0.142857142857143	0.5	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0.333333333333333	0	0	0	0	0	1	1	0	0	0	1	0.142857142857143	0.5
org.springframework:spring-core	1	0.0526315789473684	1	0	0	1	0	0	0	0	0	0	0	0	0	0.142857142857143	0.5	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0.333333333333333	0	0	0	0	0	1	1	0	0	0	1	0.142857142857143	0.5
org.springframework:spring-jcl	0	0.0357142857142857	0	0.454545454545455	0	0	0.4	0.0769230769230769	0.333333333333333	0.25	0.142857142857143	0.0909090909090909	0	0.125	0.1	0	0	0	0	0	0.2	0	0	0.0833333333333333	0	0.037037037037037	0.1	0	0.0909090909090909	0	0.1	0.2	0.0833333333333333	0.4	0	0.1	0	0	0	0	1	0	0.153846153846154	0	0	0
org.springframework.boot:spring-boot-actuator-autoconfigure	0	0.0526315789473684	0	0	0	0	0	0	0.166666666666667	0.2	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
org.springframework.data:spring-data-commons	0	0.0434782608695652	0	0.1	0.2	0	0.285714285714286	0.125	0.375	0	0	0	0.125	0.444444444444444	0	0.2	0	0	0.2	0	0.166666666666667	0	0	0	0.285714285714286	0.15	0.2	0	0.166666666666667	0	0	0	0.333333333333333	0.230769230769231	0.0769230769230769	0	0	0	0	0	0.153846153846154	0	1	0	0.2	0
org.sql2o:sql2o	1	0.0526315789473684	1	0	0	1	0	0	0	0	0	0	0	0	0	0.142857142857143	0.5	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0.333333333333333	0	0	0	0	0	1	1	0	0	0	1	0.142857142857143	0.5
us.codecraft:webmagic-core	0.142857142857143	0.0833333333333333	0.142857142857143	0	0	0.142857142857143	0	0.1	0	0	0	0	0	0.153846153846154	0	0.272727272727273	0.125	0	0	0.142857142857143	0	0.142857142857143	0	0	0.222222222222222	0.19047619047619	0	0	0.125	0.142857142857143	0	0	0.111111111111111	0	0	0	0	0	0.142857142857143	0.142857142857143	0	0	0.2	0.142857142857143	1	0.125
us.codecraft:webmagic-extension	0.5	0.05	0.5	0	0	0.5	0	0	0	0	0	0	0.2	0.111111111111111	0	0.125	0.333333333333333	0	0	0.5	0	0.5	0	0	0	0.0526315789473684	0	0	0	0.5	0	0	0.25	0	0	0	0	0	0.5	0.5	0	0	0	0.5	0.125	1
