Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Label
org.apache.rocketmq.client.impl.consumer.RebalanceImpl::rebalanceByTopic(Ljava/lang/String;Z)V	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::info(Ljava/lang/String;[Ljava/lang/Object;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	-	-	2	false	false	ClientToLib
org.apache.rocketmq.remoting.netty.NettyLogger$NettyBridgeLogger::log(Lio/netty/util/internal/logging/InternalLogLevel;Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-remoting:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::error(Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	-	-	1	false	false	LibToLib
org.apache.rocketmq.client.impl.MQClientAPIImpl::viewBrokerStatsData(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;J)Lorg/apache/rocketmq/common/protocol/body/BrokerStatsData;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.remoting.protocol.RemotingCommand::getBody()[B	org.apache.rocketmq:rocketmq-remoting:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.client.impl.consumer.RebalanceImpl::updateProcessQueueTableInRebalance(Ljava/lang/String;Ljava/util/Set;Z)Z	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::error(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.client.impl.factory.MQClientInstance::prepareHeartbeatData()Lorg/apache/rocketmq/common/protocol/heartbeat/HeartbeatData;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.protocol.heartbeat.HeartbeatData::getProducerDataSet()Ljava/util/Set;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.remoting.netty.NettyRemotingAbstract::invokeOnewayImpl(Lio/netty/channel/Channel;Lorg/apache/rocketmq/remoting/protocol/RemotingCommand;J)V	org.apache.rocketmq:rocketmq-remoting:4.9.1	public	io.netty.channel.Channel::writeAndFlush(Ljava/lang/Object;)Lio/netty/channel/ChannelFuture;	io.netty:netty-all:4.1.65.Final	-	-	1	false	false	LibToLib
org.apache.rocketmq.remoting.netty.NettyRemotingClient$4::initChannel(Lio/netty/channel/socket/SocketChannel;)V	org.apache.rocketmq:rocketmq-remoting:4.9.1	public	io.netty.channel.socket.SocketChannel::alloc()Lio/netty/buffer/ByteBufAllocator;	io.netty:netty-all:4.1.65.Final	-	-	1	false	false	LibToLib
org.apache.rocketmq.client.impl.MQClientAPIImpl::lockBatchMQ(Ljava/lang/String;Lorg/apache/rocketmq/common/protocol/body/LockBatchRequestBody;J)Ljava/util/Set;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.remoting.RemotingClient::invokeSync(Ljava/lang/String;Lorg/apache/rocketmq/remoting/protocol/RemotingCommand;J)Lorg/apache/rocketmq/remoting/protocol/RemotingCommand;	org.apache.rocketmq:rocketmq-remoting:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.client.impl.MQClientAPIImpl::processPullResponse(Lorg/apache/rocketmq/remoting/protocol/RemotingCommand;Ljava/lang/String;)Lorg/apache/rocketmq/client/consumer/PullResult;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.protocol.header.PullMessageResponseHeader::getMinOffset()Ljava/lang/Long;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.client.impl.consumer.RebalancePushImpl::dispatchPullRequest(Ljava/util/List;)V	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::info(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.remoting.netty.NettyRemotingClient::createChannel(Ljava/lang/String;)Lio/netty/channel/Channel;	org.apache.rocketmq:rocketmq-remoting:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::info(Ljava/lang/String;Ljava/lang/Object;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	-	-	1	false	false	LibToLib
org.apache.rocketmq.client.impl.consumer.DefaultMQPushConsumerImpl::copySubscription()V	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.MixAll::getRetryTopic(Ljava/lang/String;)Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.common.MixAll::getRetryTopic(Ljava/lang/String;)Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	1	false	false	ClientToLib
org.apache.rocketmq.client.impl.consumer.RebalanceImpl::unlockAll(Z)V	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::info(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	-	-	1	false	false	ClientToLib
io.netty.handler.codec.ByteToMessageDecoder::handlerRemoved(Lio/netty/channel/ChannelHandlerContext;)V	io.netty:netty-all:4.1.65.Final	protected	io.netty.handler.codec.ByteToMessageDecoder::handlerRemoved0(Lio/netty/channel/ChannelHandlerContext;)V	io.netty:netty-all:4.1.65.Final	org.apache.rocketmq.remoting.netty.NettyDecoder::handlerRemoved0(Lio/netty/channel/ChannelHandlerContext;)V	org.apache.rocketmq:rocketmq-remoting:4.9.1	32	false	false	LibToLib
org.apache.rocketmq.remoting.netty.NettyLogger$NettyBridgeLogger::warn(Ljava/lang/String;[Ljava/lang/Object;)V	org.apache.rocketmq:rocketmq-remoting:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::warn(Ljava/lang/String;[Ljava/lang/Object;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	-	-	1	false	false	LibToLib
org.apache.rocketmq.client.impl.MQClientAPIImpl::createPlainAccessConfig(Ljava/lang/String;Lorg/apache/rocketmq/common/PlainAccessConfig;J)V	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.protocol.header.CreateAccessConfigRequestHeader::setTopicPerms(Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
